Designator,Mid X,Mid Y,Rotation,Layer
C1,117.5,-84.9,270.0,top
C10,109.8,-82.4,0.0,top
C11,107.1,-85.3,0.0,top
C12,99.6,-85.3,180.0,top
C2,111.0,-84.9,270.0,top
C3,116.4,-84.9,90.0,top
C4,93.4,-75.7,270.0,top
C5,121.0,-81.9,180.0,top
C6,117.7,-82.1,0.0,top
C7,108.7,-75.0,315.0,top
C8,96.9,-80.3,270.0,top
C9,107.3,-75.0,315.0,top
D1,112.6,-80.6,180.0,top
D2,112.6,-79.1,0.0,top
J1,125.3,-79.9,180.0,top
P1,88.0,-79.9,270.0,top
Q3,95.657637,-83.396694,90.0,top
R1,95.4,-80.8,0.0,top
R10,109.1,-85.3,0.0,top
R12,99.4,-75.0,45.0,top
R13,110.9,-74.9,90.0,top
R14,110.9,-76.9,90.0,top
R15,93.4,-82.4,270.0,top
R16,93.4,-77.7,90.0,top
R2,98.1,-84.8,270.0,top
R3,108.8,-83.4,180.0,top
R4,93.8,-80.3,90.0,top
R5,93.4,-84.8,90.0,top
R6,98.4,-83.0,135.0,top
R8,110.0,-80.4,0.0,top
R9,110.0,-79.4,0.0,top
U1,103.4,-79.9,45.0,top
U2,95.7,-76.6,270.0,top
U3,118.6,-77.4,180.0,top
Y1,113.7,-84.1,180.0,top
